ID,DESCRICAO
1,TÉCNICO DE MANUTENÇÃO I
2,TÉCNICO DE MATERIAIS I
3,TÉCNICO DE DESENVOLVIMENTO DE MANUTENÇÃO I
4,TÉCNICO DE DESENVOLVIMENTO DE PROJETOS E OBRAS I
5,TÉCNICO DE MANUTENÇÃO II
6,TÉCNICO DE MATERIAIS II
7,TÉCNICO DE DESENVOLVIMENTO DE MANUTENÇÃO II
8,TÉCNICO DE DESENVOLVIMENTO DE PROJETOS E OBRAS II
9,TÉCNICO DE SEGURANÇA DO TRABALHO
10,TÉCNICO DE SERVIÇOS DA OPERAÇÃO
11,TÉCNICO DE PLANEJAMENTO E DESENVOLVIMENTO OPERACIONAL 
12,TÉCNICO DE PLANEJAMENTO E DESENVOLVIMENTO OPERACIONAL II
13,AUXILIAR DE ENFERMAGEM DO TRABALHO
14,AGENTE DE SEGURANÇA OPERACIONAL
15,AGENTE DE FISCALIZAÇÃO DE LIMPEZA
16,AGENTE OPERACIONAL I
17,AGENTE OPERACIONAL II
18,MAQUINISTA
19,MAQUINISTA ESPECIALIZADO
20,CONTROLADOR DE CIRCULAÇÃO DE TRENS II
21,CONTROLADOR DE CIRCULAÇÃO DE TRENS I
22,AGENTE DE RELACIONAMENTO
23,CONSERVADOR DE VIA PERMANENTE
24,CARPINTEIRO
25,ENCANADOR
26,MARCENEIRO
27,PEDREIRO
28,PINTOR
29,CALDEIREIRO
30,PINTOR INDUSTRIAL
31,SERRALHEIRO
32,SOLDADOR
33,AJUDANTE GERAL
34,MANOBRADOR
35,ALMOXARIFE
36,ELETRICISTA DE MANUTENÇÃO I
37,ELETRICISTA DE MANUTENÇÃO II
38,ELETROMECÂNICO
39,MECÂNICO DE MANUTENÇÃO I
40,MECÂNICO DE MANUTENÇÃO II
41,OPERADOR DE MÁQUINAS OPERATRIZES
42,ASSISTENTE DE SERVIÇOS DA MANUTENÇÃO I
43,ASSISTENTE DE SERVIÇOS DA MANUTENÇÃO II
44,MOTORISTA I
45,MOTORISTA II
46,OPERADOR DE MÁQUINAS E EQUIPAMENTOS I
47,MOTORISTA III
48,OPERADOR DE MÁQUINAS E EQUIPAMENTOS II
49,OPERADOR DE VEÍCULOS RODOFERROVIÁRIOS
50,ASSISTENTE DE SECRETARIA I
51,ESCALANTE
52,ASSISTENTE DE SECRETARIA II
53,INSTRUTOR DE FORMAÇÃO PROFISSIONAL
54,TÉCNICO DE SUPORTE E ANÁLISE
55,TÉCNICO DE LICITAÇÕES
56,TÉCNICO DE SUPORTE DE INFORMÁTICA
57,ESCRITURÁRIO
58,AUXILIAR DE PROCESSOS ADMINISTRATIVOS
59,DESENHISTA PROJETISTA
60,AUXILIAR DE ESCRITORIO
61,CHEFE GERAL DE ESTAÇÕES
62,CONTROLADOR SERVIÇOS DA MANUTENÇÃO
63,DENTISTA
64,ENCARREGADO DE ESTAÇÃO
65,ENCARREGADO DE MANOBRAS
66,ENCARREGADO DE MANUTENÇÃO
67,ENCARREGADO DE SEGURANÇA
68,SUPERVISOR DE CENTRO DE CONTROLE OPERACIONAL
69,SUPERVISOR DE MANUTENÇÃO
70,SUPERVISOR DE MATERIAIS
71,SUPERVISOR DE SEGURANÇA OPERACIONAL
72,SUPERVISOR DE TRAÇÃO
73,TELEFONISTA
74,ADVOGADO JR/PL/SR 
75,ADVOGADO
76,ANALISTA DE SERVIÇOS ADMINISTRATIVOS JR/PL/SR 
77,ANALISTA ADMINISTRATIVO
78,ANALISTA DE COMUNICAÇÃO JR/PL/SR
79,ANALISTA DE PATRIMÔNIO JR/PL/SR
80,ANALISTA DE PLANEJAMENTO E GESTÃO JR/PL/SR
81,ANALISTA DE PLANEJAMENTO JR/PL/SR
82,ANALISTA DE SISTEMAS E INFORMAÇÕES JR/PL/SR
83,ANALISTA DE COMUNICAÇÃO JR/PL/SR 
84,ANALISTA DE COMUNICAÇÃO SOCIAL
85,ANALISTA DE DOCUMENTAÇÃO TÉCNICA
86,ANALISTA DE SISTEMAS E INFORMAÇÕES JR/PL/SR
87,ANALISTA DE RECURSOS HUMANOS JR/PL/SR
88,ORIENTADOR PEDAGÓGICO EDUCACIONAL
89,ANALISTA ECONÔMICO FINANCEIRO JR/PL/SR 
90,ANALISTA DE GESTÃO ECONÔMICO FINANCEIRO
91,ANALISTA DE MATERIAIS JR/PL/SR 
92,ANALISTA DE LOGÍSTICA
93,ANALISTA DE LICITAÇÕES JR/PL/SR 
94,ANALISTA DE PROCESSOS DE CONTRATAÇÃO
95,ANALISTA DE SISTEMAS E INFORMAÇÕES JR/PL/SR 
96,ANALISTA DE TECNOLOGIA DA INFORMAÇÃO
97,ANALISTA DE PLANEJAMENTO E DESENVOLVIMENTO OPERACIONAL JR/PL/SR/ESP
98,ANALISTA DE PLANEJAMENTO E GESTÃO JR/PL/SR
99,ANALISTA DE PROJETOS E OBRAS JR/PL/SR/ESP
100,ARQUITETO
101,ASSISTENTE SOCIAL 
102,ASSISTENTE SOCIAL
103,AUDITOR AUDITOR
104,ENFERMEIRO DO TRABALHO 
105,ANALISTA DE MATERIAIS JR/PL/SR
106,ANALISTA DE PATRIMÔNIO JR/PL/SR
107,ANALISTA DE PLANEJAMENTO E DESENVOLVIMENTO OPERACIONAL JR/PL/SR/ESP
108,ANALISTA DE PLANEJAMENTO E GESTÃO JR/PL/SR
109,ANALISTA DE PROJETOS E OBRAS JR/PL/SR/ESP
110,ANALISTA PLANEJAMENTO JR/PL/SR
111,ENGENHEIRO DE MANUTENÇÃO JR/PL/SR/ESP
112,ENGENHEIRO DE SEGURANÇA DO TRABALHO 
113,MÉDICO DO TRABALHO MÉDICO DO TRABALHO
114,NUTRICIONISTA NUTRICIONISTA
115,SECRETÁRIA DE DIRETORIA 
116,SECRETÁRIA EXECUTIVA
